ui_tutorial_reb.text was created: 8/9/2021 12:20:44 AM
Filesize is: 15520 bytes

TitleName
Group 0
tut_006254 - Talises
tut_006255 - Knuckles
tut_006256 - Double Sabers
tut_006257 - Twin Daggers
tut_006258 - Twin Machine Guns
tut_006259 - Wands
tut_006261 - Storage
tut_006262 - Shared Elements with PSO2
tut_006263 - Equipping Weapons
tut_006264 - Cycling Through Main Palettes
tut_006265 - Cycling Through Sub-Palettes
tut_006266 - Main Tasks
tut_006267 - Side Tasks
tut_006268 - Ryuker Devices
tut_006269 - Teleporting
tut_006270 - The World Map
tut_006271 - Exploration Sectors
tut_006272 - Gathering
tut_006273 - TAMES
tut_006274 - Quick Food
tut_006276 - Quick Menu
tut_006277 - Customizing the Main Palette
tut_006278 - Weapon and Armor Enhancement
tut_006280 - Battle Power
tut_006281 - Daily and Weekly Tasks
tut_006283 - Task Info
tut_006285 - Parties
tut_006287 - Reversasigne
tut_006289 - Stamp
tut_006290 - Chat
tut_006291 - Emotes
tut_006294 - Stats
tut_006295 - The Incapacitation Menu
tut_006296 - Trials
tut_006297 - Weather
tut_006299 - The Salon
tut_006300 - Quest Storage
tut_006301 - Drop Storage
tut_006302 - Block Transfers
tut_006304 - Changing Motions
tut_006305 - The Friend List
tut_006306 - Chat Shortcuts
tut_006307 - Auto Chat
tut_006308 - ARKS Search
tut_006309 - Group Chat
tut_006310 - Symbol Art
tut_006311 - Control Settings
tut_006312 - Abandoning Quests
tut_006313 - Boosters
tut_006314 - Fashion Tickets
tut_006315 - Mags
tut_006316 - Preset Skills
tut_006318 - Scratch Tickets
tut_006319 - Item Exchange Shop
tut_006321 - Combat Sectors
tut_006322 - Sub-Classes
tut_006324 - Photon Sensitive Effect
tut_006325 - Rare Enemies
tut_006326 - Affixing Augments
tut_006329 - Unlocking Potentials
tut_006330 - Limit Breaking
tut_006331 - Region Mags
tut_006336 - Dromes
tut_006337 - Towers
tut_006338 - Enhanced Enemies
tut_006339 - Multi-weapons
tut_006341 - World Trials
tut_006342 - Urgent Quests
tut_006343 - Gigantix
tut_006344 - Protected Containers
tut_006350 - Physical and Elemental Downs
tut_006352 - How Weather Affects Enemies
tut_006353 - Day and Night Transitions
tut_006354 - Boss Enemy
tut_006356 - Techniques
tut_006357 - PA (Photon Arts)
tut_006358 - Moving Around
tut_006359 - Attacking
tut_006360 - Regions
tut_006361 - Assembly Point Clearance
tut_006362 - DOLLS Control System Trials
tut_006363 - Quest Immediate Start Proposal
tut_006364 - The Down Gauge
tut_006367 - Datapods
tut_006368 - Updrafters
tut_006369 - Active Sonar
tut_006370 - Enemy Suppression Trials
tut_006371 - Stella Pack Trials
tut_006372 - Defense Trials
tut_006378 - Password Matchmaking
tut_006379 - Personal Shops
tut_006390 - DOLLS
tut_006397 - Class Skills
tut_006398 - Increasing Your Battle Power I
tut_006399 - Simplified Movement
tut_006403 - Dread Enemies
tut_006404 - High Rank Sectors
tut_006405 - Stella Grace Recovery Operation
tut_006408 - Increasing Your Battle Power II
tut_006409 - Increasing Your Battle Power III
tut_006411 - Mining Rig Defense: Aelio
tut_006412 - Delivery Device
tut_006413 - DOLLS Weapons
tut_006414 - Collectasigne
tut_006415 - Mining Rig Features
tut_006416 - Emergency Alerts
tut_006418 - Mobile Cannons
tut_006419 - Advice
tut_006421 - Bravers
tut_006422 - Katanas
tut_006423 - Bows


TagName
Group 0
unknown - 不明
player_move - キャラクターのアクション／操作
base_system - システム／その他
equip_wepon_type - 武器の種類
battle - 戦闘の基本操作
skill_class - クラススキル
adventure - 冒険
quest_basic - 探索セクション／戦闘セクション
urgency - 緊急クエスト
communication - コミュニケーション
enemy - エネミー
datanum - $(0)
task - タスク
palettes - メインパレット／サブパレット
battle_power - 戦闘力
class - クラス
trial - トライアル
urgency_defence - 資源採掘リグ防衛戦
item_shop - アイテム／ショップ
weapons_enhancement - 装備の強化
limited_time_event - 期間限定イベント

Group 1
unknown - Unknown
player_move - Character Actions/Controls
base_system - System/Other
equip_wepon_type - Weapons
battle - Basic Combat Controls
skill_class - Class Skills
adventure - Adventure
quest_basic - Exploration Sectors/Combat Sectors
urgency - Urgent Quests
communication - Communications
enemy - Enemies
datanum - $(0)
task - Tasks
palettes - Main Palettes/Sub-Palettes
battle_power - Battle Power
class - Classes
trial - Trials
urgency_defence - Mining Rig Defense
item_shop - Items/Shops
weapons_enhancement - Weapon Enhancements
limited_time_event - Limited-Time Event


